Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-04-14,33.9,33.95,33.15,33.9,2688
2023-04-17,34.2,34.25,33.55,33.95,7755
2023-04-18,34,34.2,33.4,33.85,5820
2023-04-19,33.8,34.8,33.5,34.75,10510
2023-04-20,33.9,35.8,33.9,35.5,7620
2023-04-21,35,35.5,34.7,35.5,2434
2023-04-24,35,37,35,35.5,12732
2023-04-25,35.5,35.8,34.4,35,5451
2023-04-26,34.4,35.5,34.1,34.2,3446
2023-04-27,34.1,35.4,33.2,34.8,13699
2023-04-28,34.8,35.6,34.3,35.5,8945
2023-05-02,35.5,35.5,34.4,34.7,2764
2023-05-04,34.7,35.2,34.4,34.9,955
2023-05-05,34.9,34.9,34,34.3,5947
2023-05-08,34.5,36.2,34.5,35,8000
2023-05-09,35,36.8,35,35.8,17924
2023-05-10,36.2,36.4,35.5,35.5,1967
2023-05-11,35.5,36.4,35.5,36.2,3094
2023-05-12,35.9,36.1,34.8,35.4,2763
2023-05-15,35.6,36,35.4,35.6,2139
2023-05-16,35.6,35.8,35.6,35.8,3441
2023-05-17,35.7,36,35.5,35.5,971
2023-05-18,35.6,36.5,35.6,35.9,7754
2023-05-19,36.2,36.9,36,36.9,9179
2023-05-22,37,37.3,36.9,37.1,10577
2023-05-23,37.1,37.6,36.9,37.1,6985
2023-05-24,36.9,37,33.3,35.8,53250
2023-05-25,35,37.6,34.9,37.3,25060
2023-05-26,37.4,37.5,37,37.1,6412
2023-05-29,37,37.5,37,37.2,5338
2023-05-30,37,37.5,37,37.4,5781
2023-05-31,37.1,37.1,36.2,36.2,10825
2023-06-01,36.6,36.6,33.8,34,18829
2023-06-02,34.5,35.8,34.1,34.6,9593
2023-06-05,35.7,35.7,34.4,34.7,3460
2023-06-06,34.9,35,33.7,33.9,4183
2023-06-07,34.1,35,33.9,34.3,7027
2023-06-09,34.6,34.7,34.3,34.5,2154
2023-06-12,34.5,34.7,34.4,34.7,584
2023-06-13,34.6,35,34.5,34.6,3103
2023-06-14,34.6,35,34.3,34.3,3319
